value_vhg,corporatie,jaar
DV doorexploiteren,Vechthorst,2025
DV uitponden,Wonen Limburg,2025
DV uitponden,Mooiland,2025
LW waarde,3B Wonen,2025
LW waarde,Triada,2025
LW waarde,Actium,2025
MH waarde,Triada,2025
MH waarde,Charlotte van Beuningen,2025
MH waarde,Kennemer Wonen,2025
MH waarde,DeZaligheden,2025
OH doorexploiteren,Woonborg,2025
OH doorexploiteren,Compaen,2025
OH uitponden,Woonborg,2025
OH uitponden,Compaen,2025
OH uitponden,Vechthorst,2025
OH uitponden,KleurrijkWonen,2025
Beleidsonderhoud,Wooninc.,2025
Beleidsonderhoud,Huis & Hof,2025
Beleidsonderhoud,Woningbouwvereniging Gelderland,2025
Beleidsbeheer,Samenwerking Slikkerveer,2025
Beleidsbeheer,Woonservice Drenthe,2025
Beleidsbeheer,Huis & Hof,2025
Beleidsbeheer,Woningbouwvereniging Gelderland,2025
Beleidshuur,Huis & Hof,2025
Beleidshuur,Woningbouwvereniging Gelderland,2025
DV doorexploiteren_blw,Woongoed Zeeuws Vlaanderen,2025
DV doorexploiteren_blw,Huis & Hof,2025
DV doorexploiteren_blw,Woningbouwvereniging Gelderland,2025
